column,dtype,semantic,n_unique,missing_rate
ENTRANCES_AVG,float64,numeric,285,0.503487680115508
FLOORSMAX_AVG,float64,numeric,403,0.4976082156410665
FLOORSMIN_AVG,float64,numeric,305,0.6784862980511266
LANDAREA_AVG,float64,numeric,3527,0.5937673774271489
LIVINGAPARTMENTS_AVG,float64,numeric,1868,0.6835495315614726
LIVINGAREA_AVG,float64,numeric,5199,0.5019332641759157
NONLIVINGAPARTMENTS_AVG,float64,numeric,386,0.6943296337366793
NONLIVINGAREA_AVG,float64,numeric,3290,0.5517916432257708
APARTMENTS_MODE,float64,numeric,760,0.5074972927797705
BASEMENTAREA_MODE,float64,numeric,3841,0.5851595552679416
YEARS_BEGINEXPLUATATION_MODE,float64,numeric,221,0.48781019215572774
YEARS_BUILD_MODE,float64,numeric,154,0.6649778381911542
COMMONAREA_MODE,float64,numeric,3128,0.6987229725115525
ELEVATORS_MODE,float64,numeric,26,0.532959796560123
ENTRANCES_MODE,float64,numeric,30,0.503487680115508
FLOORSMAX_MODE,float64,numeric,25,0.4976082156410665
FLOORSMIN_MODE,float64,numeric,25,0.6784862980511266
LANDAREA_MODE,float64,numeric,3563,0.5937673774271489
LIVINGAPARTMENTS_MODE,float64,numeric,736,0.6835495315614726
LIVINGAREA_MODE,float64,numeric,5301,0.5019332641759157
NONLIVINGAPARTMENTS_MODE,float64,numeric,167,0.6943296337366793
NONLIVINGAREA_MODE,float64,numeric,3327,0.5517916432257708
APARTMENTS_MEDI,float64,numeric,1148,0.5074972927797705
BASEMENTAREA_MEDI,float64,numeric,3772,0.5851595552679416
YEARS_BEGINEXPLUATATION_MEDI,float64,numeric,245,0.48781019215572774
YEARS_BUILD_MEDI,float64,numeric,151,0.6649778381911542
COMMONAREA_MEDI,float64,numeric,3202,0.6987229725115525
ELEVATORS_MEDI,float64,numeric,46,0.532959796560123
ENTRANCES_MEDI,float64,numeric,46,0.503487680115508
FLOORSMAX_MEDI,float64,numeric,49,0.4976082156410665
FLOORSMIN_MEDI,float64,numeric,47,0.6784862980511266
LANDAREA_MEDI,float64,numeric,3560,0.5937673774271489
LIVINGAPARTMENTS_MEDI,float64,numeric,1097,0.6835495315614726
LIVINGAREA_MEDI,float64,numeric,5281,0.5019332641759157
NONLIVINGAPARTMENTS_MEDI,float64,numeric,214,0.6943296337366793
NONLIVINGAREA_MEDI,float64,numeric,3323,0.5517916432257708
FONDKAPREMONT_MODE,category,categorical,4,0.6838617155158677
HOUSETYPE_MODE,category,categorical,3,0.50176091261776
TOTALAREA_MODE,float64,numeric,5116,0.4826851722377411
WALLSMATERIAL_MODE,category,categorical,7,0.508407829313423
EMERGENCYSTATE_MODE,category,categorical,2,0.47398304450897694
OBS_30_CNT_SOCIAL_CIRCLE,float64,numeric,33,0.0033202064316398437
DEF_30_CNT_SOCIAL_CIRCLE,float64,numeric,10,0.0033202064316398437
OBS_60_CNT_SOCIAL_CIRCLE,float64,numeric,33,0.0033202064316398437
DEF_60_CNT_SOCIAL_CIRCLE,float64,numeric,9,0.0033202064316398437
DAYS_LAST_PHONE_CHANGE,float64,numeric,3773,3.2519161916159095e-06
FLAG_DOCUMENT_2,int64,binary,2,0.0
FLAG_DOCUMENT_3,int64,binary,2,0.0
FLAG_DOCUMENT_4,int64,binary,2,0.0
FLAG_DOCUMENT_5,int64,binary,2,0.0
FLAG_DOCUMENT_6,int64,binary,2,0.0
FLAG_DOCUMENT_7,int64,binary,2,0.0
FLAG_DOCUMENT_8,int64,binary,2,0.0
FLAG_DOCUMENT_9,int64,binary,2,0.0
FLAG_DOCUMENT_10,int64,binary,2,0.0
FLAG_DOCUMENT_11,int64,binary,2,0.0
FLAG_DOCUMENT_12,int64,binary,2,0.0
FLAG_DOCUMENT_13,int64,binary,2,0.0
FLAG_DOCUMENT_14,int64,binary,2,0.0
FLAG_DOCUMENT_15,int64,binary,2,0.0
FLAG_DOCUMENT_16,int64,binary,2,0.0
FLAG_DOCUMENT_17,int64,binary,2,0.0
FLAG_DOCUMENT_18,int64,binary,2,0.0
FLAG_DOCUMENT_19,int64,binary,2,0.0
FLAG_DOCUMENT_20,int64,binary,2,0.0
FLAG_DOCUMENT_21,int64,binary,2,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,float64,numeric,5,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_DAY,float64,numeric,9,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_WEEK,float64,numeric,9,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_MON,float64,numeric,24,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_QRT,float64,numeric,11,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_YEAR,float64,numeric,25,0.13501630835970097
DAYS_EMPLOYED_MISSING,int8,binary,2,0.0
OCCUPATION_TYPE_MISSING,int8,binary,2,0.0
CREDIT_BUREAU_REQ_MISSING,int8,binary,2,0.0
BUILDING_INFO_MISSING,int8,binary,2,0.0
EXT_SOURCE_3_MISSING,int8,binary,2,0.0
EXT_SOURCE_1_MISSING,int8,binary,2,0.0
INVALID_ROW,int64,binary,1,0.0
